epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,609.573,0.60281,0.35136,0.83945,0.87866,0.84384,0.92367,0.80244,0.54776,0.43272,0.82065,0.000509727,0.000509727,0.000509727
43,623.915,0.59368,0.34345,0.83882,0.89695,0.85929,0.93828,0.81091,0.54123,0.42496,0.82173,0.000495062,0.000495062,0.000495062
44,638.144,0.59856,0.34265,0.83605,0.87555,0.89619,0.95035,0.84919,0.54874,0.40284,0.82037,0.000480396,0.000480396,0.000480396
45,652.355,0.59055,0.33929,0.83917,0.86924,0.87178,0.91158,0.76651,0.5719,0.45188,0.8262,0.000465731,0.000465731,0.000465731
46,666.891,0.58717,0.33976,0.83367,0.90902,0.88575,0.93549,0.81054,0.57283,0.42297,0.8231,0.000451066,0.000451066,0.000451066
47,681.377,0.58805,0.3399,0.83236,0.88873,0.8807,0.94175,0.84567,0.5736,0.39911,0.82491,0.000436401,0.000436401,0.000436401
48,695.557,0.59578,0.33672,0.83407,0.89208,0.90164,0.94228,0.84109,0.58075,0.40383,0.82873,0.000421736,0.000421736,0.000421736
49,709.97,0.58758,0.3302,0.83635,0.91838,0.88062,0.94279,0.82082,0.5575,0.40001,0.82228,0.00040707,0.00040707,0.00040707
50,724.911,0.58752,0.33265,0.83471,0.89672,0.8842,0.93897,0.83003,0.57886,0.44595,0.82788,0.000392405,0.000392405,0.000392405
51,739.209,0.57852,0.32265,0.8326,0.84037,0.90211,0.94031,0.80907,0.56182,0.41385,0.82435,0.00037774,0.00037774,0.00037774
52,753.431,0.5794,0.32353,0.83129,0.62468,0.94657,0.93691,0.82359,0.55316,0.41198,0.82266,0.000363075,0.000363075,0.000363075
53,767.822,0.56712,0.31513,0.83231,0.90569,0.87283,0.94519,0.84913,0.56195,0.40422,0.82369,0.00034841,0.00034841,0.00034841
54,782.809,0.5748,0.32323,0.83003,0.92446,0.85079,0.92941,0.82091,0.55116,0.42461,0.8246,0.000333744,0.000333744,0.000333744
55,797.551,0.56206,0.3161,0.82843,0.86413,0.92387,0.94709,0.86128,0.5366,0.40285,0.81981,0.000319079,0.000319079,0.000319079
56,812.284,0.56779,0.31917,0.8319,0.85035,0.92493,0.94632,0.85124,0.54551,0.4198,0.82047,0.000304414,0.000304414,0.000304414
57,826.667,0.55342,0.31269,0.82765,0.87803,0.8922,0.94738,0.85145,0.55152,0.41811,0.82005,0.000289749,0.000289749,0.000289749
58,841.15,0.55728,0.3135,0.82472,0.91397,0.8606,0.94877,0.83053,0.56832,0.40207,0.82055,0.000275084,0.000275084,0.000275084
59,855.853,0.55606,0.31157,0.82779,0.91235,0.89064,0.95046,0.82869,0.58564,0.40274,0.82687,0.000260418,0.000260418,0.000260418
60,870.971,0.55808,0.3105,0.82907,0.90073,0.88897,0.94211,0.82467,0.55208,0.40232,0.82091,0.000245753,0.000245753,0.000245753
61,885.2,0.54639,0.30453,0.82615,0.9113,0.88718,0.94766,0.85115,0.55048,0.40382,0.82095,0.000231088,0.000231088,0.000231088
62,899.636,0.54965,0.30263,0.8259,0.89918,0.90976,0.95003,0.85639,0.57232,0.38483,0.82249,0.000216423,0.000216423,0.000216423
63,914.327,0.54215,0.29699,0.8242,0.90552,0.85263,0.9502,0.85023,0.56223,0.39049,0.82451,0.000201758,0.000201758,0.000201758
64,928.879,0.54181,0.29757,0.82907,0.88333,0.84045,0.94183,0.84885,0.54253,0.39936,0.82022,0.000187092,0.000187092,0.000187092
65,943.634,0.53599,0.29713,0.82043,0.88455,0.89037,0.94836,0.85287,0.56102,0.3895,0.82209,0.000172427,0.000172427,0.000172427
66,959.332,0.50377,0.27243,0.81644,0.89083,0.89392,0.94322,0.83702,0.5398,0.3874,0.82108,0.000157762,0.000157762,0.000157762
67,973.408,0.49992,0.26516,0.81667,0.87836,0.87534,0.94299,0.84367,0.58012,0.3884,0.82333,0.000143097,0.000143097,0.000143097
68,987.406,0.492,0.26149,0.81507,0.89825,0.87706,0.93539,0.84266,0.53912,0.39104,0.8181,0.000128432,0.000128432,0.000128432
69,1001.18,0.48652,0.25936,0.81389,0.88675,0.88906,0.93883,0.84417,0.54944,0.37945,0.81787,0.000113766,0.000113766,0.000113766
70,1015.02,0.48426,0.25904,0.81403,0.89909,0.85365,0.9434,0.84672,0.55364,0.38891,0.8208,9.91012e-05,9.91012e-05,9.91012e-05
71,1028.53,0.47906,0.25426,0.81249,0.89838,0.8317,0.93824,0.83946,0.55404,0.40646,0.8235,8.4436e-05,8.4436e-05,8.4436e-05
72,1042.27,0.47794,0.25544,0.8163,0.89367,0.83432,0.94086,0.84259,0.56261,0.40188,0.82397,6.97708e-05,6.97708e-05,6.97708e-05
73,1056.07,0.46776,0.24645,0.80876,0.87132,0.8746,0.93966,0.84666,0.55246,0.39351,0.82155,5.51056e-05,5.51056e-05,5.51056e-05
74,1069.58,0.46395,0.24506,0.80758,0.89602,0.87313,0.94662,0.84493,0.57147,0.39015,0.82472,4.04404e-05,4.04404e-05,4.04404e-05
75,1083.59,0.4704,0.24858,0.80656,0.90708,0.8691,0.9456,0.84447,0.56146,0.38832,0.82337,2.57752e-05,2.57752e-05,2.57752e-05
